wavelength,species,ep,gf,HD17051,HD28635,Vesta
-4671.6982,25,2.8884,-3.885,0,0,
-4671.7012,25,2.8884,-2.709,0,0,
-4671.7041,25,2.8884,-3.01,0,0,
-4671.707,25,2.8884,-3.964,0,0,
-4671.709,25,2.8884,-2.931,0,0,
-4671.7109,25,2.8884,-3.186,0,0,
-4671.7129,25,2.8884,-3.216,0,0,
4709.693,25,2.8884,-0.949,62.3,60.8,
-4709.698,25,2.8884,-1.94,0,0,
-4709.701,25,2.8884,-1.94,0,0,
-4709.706,25,2.8884,-1.119,0,0,
-4709.711,25,2.8884,-1.758,0,0,
-4709.713,25,2.8884,-1.758,0,0,
-4709.717,25,2.8884,-1.304,0,0,
-4709.721,25,2.8884,-1.727,0,0,
-4709.723,25,2.8884,-1.727,0,0,
-4709.726,25,2.8884,-1.496,0,0,
-4709.729,25,2.8884,-1.792,0,0,
-4709.73,25,2.8884,-1.792,0,0,
-4709.733,25,2.8884,-1.671,0,0,
-4709.735,25,2.8884,-1.99,0,0,
-4709.736,25,2.8884,-1.99,0,0,
-4709.737,25,2.8884,-1.735,0,0,
4739.072,25,2.941,-1.518,58.2,54.9,
-4739.072,25,2.941,-1.041,0,0,
-4739.088,25,2.941,-1.416,0,0,
-4739.088,25,2.941,-1.59,0,0,
-4739.088,25,2.941,-1.518,0,0,
-4739.1,25,2.941,-1.416,0,0,
-4739.101,25,2.941,-1.548,0,0,
-4739.101,25,2.941,-3.125,0,0,
-4739.109,25,2.941,-1.916,0,0,
-4739.109,25,2.941,-1.548,0,0,
5377.564,25,3.8437,-1.478,48.4,44.9,
-5377.5762,25,3.8437,-1.302,0,0,
-5377.5762,25,3.8437,-1.068,0,0,
-5377.582,25,3.8437,-1.624,0,0,
-5377.5938,25,3.8437,-1.147,0,0,
-5377.5957,25,3.8437,-0.795,0,0,
-5377.6064,25,3.8437,-1.67,0,0,
-5377.6201,25,3.8437,-1.126,0,0,
-5377.626,25,3.8437,-0.583,0,0,
-5377.6377,25,3.8437,-1.846,0,0,
-5377.6553,25,3.8437,-1.272,0,0,
-5377.6782,25,3.8437,-2.226,0,0,
5394.6191,25,0,-4.067,49.7,45.5,
-5394.6509,25,0,-4.985,0,0,
-5394.6538,25,0,-4.207,0,0,
-5394.6772,25,0,-6.202,0,0,
-5394.6807,25,0,-4.809,0,0,
-5394.6831,25,0,-4.365,0,0,
-5394.7021,25,0,-5.85,0,0,
-5394.7051,25,0,-4.783,0,0,
-5394.707,25,0,-4.549,0,0,
-5394.7212,25,0,-5.725,0,0,
-5394.7227,25,0,-4.85,0,0,
-5394.7246,25,0,-4.771,0,0,
-5394.7339,25,0,-5.804,0,0,
-5394.7358,25,0,-5.056,0,0,
-5394.7358,25,0,-5.026,0,0,
5399.45,25,3.85,-1.162,34.8,33.6,
-5399.455,25,3.85,-1.03,0,0,
-5399.465,25,3.85,-1.53,0,0,
-5399.465,25,3.85,-1.132,0,0,
-5399.478,25,3.85,-2.74,0,0,
-5399.494,25,3.85,-1.162,0,0,
-5399.497,25,3.85,-1.204,0,0,
-5399.521,25,3.85,-1.03,0,0,
-5399.522,25,3.85,-0.655,0,0,
-5399.555,25,3.85,-1.132,0,0,
5413.5933,25,3.859,-1.81,20.3,20,
-5413.6279,25,3.859,-1.379,0,0,
-5413.6377,25,3.859,-1.266,0,0,
-5413.6577,25,3.859,-1.266,0,0,
-5413.6968,25,3.859,-0.902,0,0,
-5413.7017,25,3.859,-1.363,0,0,
6013.52,25,3.073,-0.765,76.1,72.3,
-6013.545,25,3.073,-0.977,0,0,
-6013.567,25,3.073,-1.25,0,0,
-6013.573,25,3.073,-1.454,0,0,
-6013.584,25,3.073,-1.66,0,0,
-6013.587,25,3.073,-1.308,0,0,
-6013.598,25,3.073,-1.329,0,0,
-6013.605,25,3.073,-1.484,0,0,
-6013.615,25,3.073,-2.408,0,0,
-6013.615,25,3.073,-1.806,0,0,
-6013.619,25,3.073,-2.028,0,0,
-6013.619,25,3.073,-1.852,0,0,
6016.613,25,3.073,-1.444,87.5,85.1,
-6016.64,25,3.073,-0.666,0,0,
-6016.64,25,3.073,-1.281,0,0,
-6016.661,25,3.073,-1.276,0,0,
-6016.662,25,3.073,-0.929,0,0,
-6016.678,25,3.073,-1.378,0,0,
-6016.679,25,3.073,-1.26,0,0,
-6016.689,25,3.073,-1.444,0,0,
-6016.69,25,3.073,-1.707,0,0,
-6016.691,25,3.073,-1.64,0,0,
-6016.697,25,3.073,-2.406,0,0,
-6016.701,25,3.073,-1.281,0,0,
-6016.707,25,3.073,-1.64,0,0,
-6016.708,25,3.073,-1.276,0,0,
-6016.709,25,3.073,-1.378,0,0,
6021.746,25,3.075,-2.668,88.4,86.7,
-6021.772,25,3.075,-1.451,0,0,
-6021.774,25,3.075,-2.316,0,0,
-6021.795,25,3.075,-1.275,0,0,
-6021.798,25,3.075,-2.191,0,0,
-6021.804,25,3.075,-0.533,0,0,
-6021.813,25,3.075,-1.249,0,0,
-6021.817,25,3.075,-2.271,0,0,
-6021.821,25,3.075,-0.673,0,0,
-6021.827,25,3.075,-1.316,0,0,
-6021.834,25,3.075,-0.831,0,0,
-6021.837,25,3.075,-1.492,0,0,
-6021.843,25,3.075,-1.015,0,0,
-6021.846,25,3.075,-1.522,0,0,
-6021.847,25,3.075,-1.237,0,0,
4792.8604,27,3.2524,-0.921,25.1,24.9,
-4792.7988,27,3.2524,-2.734,0,0,
-4792.814,27,3.2524,-2.324,0,0,
-4792.8242,27,3.2524,-1.62,0,0,
-4792.8271,27,3.2524,-2.102,0,0,
-4792.834,27,3.2524,-1.424,0,0,
-4792.8379,27,3.2524,-1.977,0,0,
-4792.8428,27,3.2524,-1.37,0,0,
-4792.8477,27,3.2524,-1.926,0,0,
-4792.8501,27,3.2524,-1.392,0,0,
-4792.854,27,3.2524,-0.78,0,0,
-4792.856,27,3.2524,-1.956,0,0,
-4792.856,27,3.2524,-1.483,0,0,
-4792.8604,27,3.2524,-1.671,0,0,
-4792.8643,27,3.2524,-1.085,0,0,
-4792.8672,27,3.2524,-1.283,0,0,
-4792.8682,27,3.2524,-1.926,0,0,
-4792.8682,27,3.2524,-1.538,0,0,
4813.478,27,3.2158,-0.601,37.6,36.9,
-4813.3979,27,3.2158,-2.805,0,0,
-4813.416,27,3.2158,-2.407,0,0,
-4813.4321,27,3.2158,-2.203,0,0,
-4813.4321,27,3.2158,-1.504,0,0,
-4813.4453,27,3.2158,-1.293,0,0,
-4813.4468,27,3.2158,-2.106,0,0,
-4813.4561,27,3.2158,-1.22,0,0,
-4813.459,27,3.2158,-2.106,0,0,
-4813.4658,27,3.2158,-1.214,0,0,
-4813.4697,27,3.2158,-2.261,0,0,
-4813.4712,27,3.2158,-0.496,0,0,
-4813.4727,27,3.2158,-1.261,0,0,
-4813.479,27,3.2158,-1.366,0,0,
-4813.4829,27,3.2158,-1.562,0,0,
-4813.4854,27,3.2158,-0.717,0,0,
-4813.4893,27,3.2158,-0.846,0,0,
-4813.4902,27,3.2158,-1.629,0,0,
-4813.4922,27,3.2158,-0.992,0,0,
-4813.4932,27,3.2158,-1.366,0,0,
-4813.4932,27,3.2158,-1.162,0,0,
5212.687,27,3.5144,-1.103,15.2,15.3,
-5212.591,27,3.5144,-1.882,0,0,
-5212.618,27,3.5144,-1.667,0,0,
-5212.642,27,3.5144,-1.59,0,0,
-5212.649,27,3.5144,-0.819,0,0,
-5212.664,27,3.5144,-1.579,0,0,
-5212.669,27,3.5144,-0.955,0,0,
-5212.683,27,3.5144,-1.622,0,0,
-5212.7,27,3.5144,-1.725,0,0,
-5212.701,27,3.5144,-1.262,0,0,
-5212.713,27,3.5144,-1.431,0,0,
-5212.714,27,3.5144,-1.946,0,0,
-5212.722,27,3.5144,-1.598,0,0,
-5212.728,27,3.5144,-1.882,0,0,
-5212.729,27,3.5144,-1.736,0,0,
-5212.734,27,3.5144,-1.75,0,0,
-5212.738,27,3.5144,-1.667,0,0,
-5212.745,27,3.5144,-1.59,0,0,
-5212.748,27,3.5144,-1.946,0,0,
-5212.75,27,3.5144,-1.579,0,0,
-5212.751,27,3.5144,-1.725,0,0,
-5212.752,27,3.5144,-1.622,0,0,
5280.6221,27,3.629,-0.808,14.5,14.1,
-5280.5322,27,3.629,-3.012,0,0,
-5280.5591,27,3.629,-2.614,0,0,
-5280.5659,27,3.629,-1.711,0,0,
-5280.583,27,3.629,-2.41,0,0,
-5280.5879,27,3.629,-1.5,0,0,
-5280.603,27,3.629,-2.313,0,0,
-5280.605,27,3.629,-0.703,0,0,
-5280.606,27,3.629,-1.427,0,0,
-5280.6201,27,3.629,-2.313,0,0,
-5280.6221,27,3.629,-1.421,0,0,
-5280.6343,27,3.629,-2.468,0,0,
-5280.6343,27,3.629,-1.468,0,0,
-5280.6348,27,3.629,-0.924,0,0,
-5280.644,27,3.629,-1.573,0,0,
-5280.6455,27,3.629,-1.053,0,0,
-5280.6499,27,3.629,-1.769,0,0,
-5280.6533,27,3.629,-1.199,0,0,
-5280.6582,27,3.629,-1.836,0,0,
-5280.6582,27,3.629,-1.369,0,0,
-5280.6592,27,3.629,-1.573,0,0,
5342.706,27,4.021,-0.187,28.5,28.1,
-5342.693,27,4.021,-0.743,0,0,
-5342.693,27,4.021,-0.66,0,0,
-5342.693,27,4.021,-0.574,0,0,
-5342.694,27,4.021,-0.49,0,0,
-5342.696,27,4.021,-0.408,0,0,
-5342.699,27,4.021,-0.331,0,0,
-5342.701,27,4.021,-1.468,0,0,
-5342.702,27,4.021,-0.257,0,0,
-5342.704,27,4.021,-1.25,0,0,
-5342.707,27,4.021,-1.156,0,0,
-5342.712,27,4.021,-1.124,0,0,
-5342.713,27,4.021,-2.681,0,0,
-5342.716,27,4.021,-1.144,0,0,
-5342.718,27,4.021,-2.447,0,0,
-5342.722,27,4.021,-1.231,0,0,
-5342.725,27,4.021,-2.401,0,0,
-5342.728,27,4.021,-1.454,0,0,
-5342.732,27,4.021,-2.468,0,0,
-5342.739,27,4.021,-2.651,0,0,
-5342.748,27,4.021,-3.033,0,0,
5352.0361,27,3.5763,-0.728,19.6,19.1,
-5351.8926,27,3.5763,-3.244,0,0,
-5351.9248,27,3.5763,-2.855,0,0,
-5351.9531,27,3.5763,-2.663,0,0,
-5351.9531,27,3.5763,-1.791,0,0,
-5351.9756,27,3.5763,-1.573,0,0,
-5351.978,27,3.5763,-2.583,0,0,
-5351.9971,27,3.5763,-1.491,0,0,
-5352,27,3.5763,-2.611,0,0,
-5352.0146,27,3.5763,-1.475,0,0,
-5352.019,27,3.5763,-2.818,0,0,
-5352.0205,27,3.5763,-0.644,0,0,
-5352.0288,27,3.5763,-1.511,0,0,
-5352.041,27,3.5763,-1.607,0,0,
-5352.0488,27,3.5763,-0.818,0,0,
-5352.0503,27,3.5763,-1.818,0,0,
-5352.0586,27,3.5763,-0.914,0,0,
-5352.0659,27,3.5763,-1.018,0,0,
-5352.0698,27,3.5763,-1.366,0,0,
-5352.0698,27,3.5763,-1.13,0,0,
-5352.0723,27,3.5763,-1.248,0,0,
5359.1968,27,4.1494,-0.983,8.5,8.3,
-5359.1885,27,4.1494,-0.633,0,0,
-5359.1914,27,4.1494,-0.738,0,0,
-5359.1938,27,4.1494,-0.854,0,0,
-5359.1997,27,4.1494,-1.129,0,0,
-5359.2041,27,4.1494,-1.299,0,0,
-5359.207,27,4.1494,-1.503,0,0,
-5359.21,27,4.1494,-1.766,0,0,
-5359.2139,27,4.1494,-1.699,0,0,
-5359.2139,27,4.1494,-1.503,0,0,
-5359.2148,27,4.1494,-1.398,0,0,
-5359.2148,27,4.1494,-1.351,0,0,
-5359.2158,27,4.1494,-1.357,0,0,
-5359.2158,27,4.1494,-1.43,0,0,
-5359.2168,27,4.1494,-1.641,0,0,
-5359.2212,27,4.1494,-2.398,0,0,
-5359.2246,27,4.1494,-2.243,0,0,
-5359.2295,27,4.1494,-2.243,0,0,
-5359.2339,27,4.1494,-2.34,0,0,
-5359.2383,27,4.1494,-2.544,0,0,
-5359.2422,27,4.1494,-2.942,0,0,
5483.354,27,1.7104,-2.425,32.6,31.2,
-5483.309,27,1.7104,-2.12,0,0,
-5483.334,27,1.7104,-2.261,0,0,
-5483.344,27,1.7104,-2.961,0,0,
-5483.363,27,1.7104,-2.764,0,0,
-5483.37,27,1.7104,-2.623,0,0,
-5483.372,27,1.7104,-4.074,0,0,
-5483.378,27,1.7104,-2.71,0,0,
-5483.383,27,1.7104,-2.878,0,0,
-5483.387,27,1.7104,-3.664,0,0,
-5483.389,27,1.7104,-2.732,0,0,
-5483.393,27,1.7104,-3.266,0,0,
-5483.397,27,1.7104,-2.822,0,0,
-5483.397,27,1.7104,-3.442,0,0,
-5483.402,27,1.7104,-3.011,0,0,
-5483.403,27,1.7104,-3.317,0,0,
-5483.407,27,1.7104,-3.296,0,0,
-5483.407,27,1.7104,-3.266,0,0,
5530.776,27,1.711,-3.165,10.7,10,
-5530.734,27,1.711,-2.86,0,0,
-5530.757,27,1.711,-3.001,0,0,
-5530.767,27,1.711,-3.7,0,0,
-5530.785,27,1.711,-3.504,0,0,
-5530.791,27,1.711,-3.363,0,0,
-5530.794,27,1.711,-4.814,0,0,
-5530.799,27,1.711,-3.45,0,0,
-5530.803,27,1.711,-3.618,0,0,
-5530.808,27,1.711,-4.404,0,0,
-5530.809,27,1.711,-3.472,0,0,
-5530.812,27,1.711,-4.006,0,0,
-5530.816,27,1.711,-3.563,0,0,
-5530.817,27,1.711,-4.182,0,0,
-5530.82,27,1.711,-3.751,0,0,
-5530.822,27,1.711,-4.057,0,0,
-5530.825,27,1.711,-4.006,0,0,
-5530.825,27,1.711,-4.036,0,0,
5647.232,27,2.28,-2.626,9.5,9.3,
-5647.207,27,2.28,-2.127,0,0,
-5647.22,27,2.28,-2.343,0,0,
-5647.239,27,2.28,-2.753,0,0,
-5647.243,27,2.28,-3.065,0,0,
-5647.246,27,2.28,-2.592,0,0,
-5647.253,27,2.28,-2.6,0,0,
-5647.259,27,2.28,-2.764,0,0,
-5647.265,27,2.28,-3.618,0,0,
-5647.267,27,2.28,-3.19,0,0,
-5647.269,27,2.28,-2.764,0,0,
-5647.269,27,2.28,-2.94,0,0,
6082.4214,27,3.5144,-1.989,8.4,8.7,
-6082.3149,27,3.5144,-2.356,0,0,
-6082.3198,27,3.5144,-2.135,0,0,
-6082.3247,27,3.5144,-2.16,0,0,
-6082.3296,27,3.5144,-2.032,0,0,
-6082.335,27,3.5144,-2.146,0,0,
-6082.3447,27,3.5144,-2.356,0,0,
-6082.3462,27,3.5144,-1.989,0,0,
-6082.3496,27,3.5144,-2.008,0,0,
-6082.3652,27,3.5144,-2.135,0,0,
-6082.3657,27,3.5144,-2,0,0,
-6082.3711,27,3.5144,-1.841,0,0,
-6082.3901,27,3.5144,-2.032,0,0,
-6082.3921,27,3.5144,-2.077,0,0,
-6082.3965,27,3.5144,-1.672,0,0,
-6082.4219,27,3.5144,-2.292,0,0,
-6082.4263,27,3.5144,-1.513,0,0,
-6082.4561,27,3.5144,-2,0,0,
-6082.4609,27,3.5144,-1.365,0,0,
-6082.4956,27,3.5144,-2.077,0,0,
-6082.502,27,3.5144,-1.229,0,0,
-6082.541,27,3.5144,-2.292,0,0,
6093.1484,27,1.7403,-3.468,4.4,4.2,
-6093.0952,27,1.7403,-3.457,0,0,
-6093.1157,27,1.7403,-3.046,0,0,
-6093.124,27,1.7403,-3.343,0,0,
-6093.1392,27,1.7403,-3.662,0,0,
-6093.1597,27,1.7403,-3.457,0,0,
-6093.1738,27,1.7403,-3.644,0,0,
-6093.1738,27,1.7403,-3.343,0,0,
-6093.1846,27,1.7403,-3.468,0,0,
6188.925,27,1.71,-3.805,5.2,4.9,
-6188.937,27,1.71,-3.106,0,0,
-6188.968,27,1.71,-3.624,0,0,
-6188.979,27,1.71,-3.398,0,0,
-6188.991,27,1.71,-3.805,0,0,
-6189.003,27,1.71,-3.593,0,0,
-6189.012,27,1.71,-3.804,0,0,
-6189.024,27,1.71,-3.624,0,0,
-6189.03,27,1.71,-3.657,0,0,
-6189.038,27,1.71,-4.521,0,0,
-6189.048,27,1.71,-3.593,0,0,
-6189.052,27,1.71,-3.856,0,0,
-6189.057,27,1.71,-5.764,0,0,
-6189.065,27,1.71,-3.657,0,0,
-6189.069,27,1.71,-4.111,0,0,
-6189.075,27,1.71,-3.856,0,0,
6454.946,27,3.632,-1.4194,9.2,9.2,
-6454.934,27,3.632,-2.0562,0,0,
-6454.944,27,3.632,-1.9892,0,0,
-6454.933,27,3.632,-1.7929,0,0,
-6454.965,27,3.632,-2.6882,0,0,
-6454.954,27,3.632,-1.7929,0,0,
-6454.937,27,3.632,-1.5888,0,0,
-6454.985,27,3.632,-2.5333,0,0,
-6454.968,27,3.632,-1.6882,0,0,
-6455.01,27,3.632,-2.5333,0,0,
-6454.987,27,3.632,-1.6412,0,0,
-6454.959,27,3.632,-1.2732,0,0,
-6455.04,27,3.632,-2.6302,0,0,
-6455.012,27,3.632,-1.6468,0,0,
-6454.978,27,3.632,-1.1441,0,0,
-6455.074,27,3.632,-2.8343,0,0,
-6455.041,27,3.632,-1.7204,0,0,
-6455.002,27,3.632,-1.0282,0,0,
-6455.114,27,3.632,-3.2323,0,0,
-6455.075,27,3.632,-1.9312,0,0,
-6455.03,27,3.632,-0.9226,0,0,
6814.9688,27,1.9557,-3.026,12.2,11.5,
-6814.8887,27,1.9557,-2.839,0,0,
-6814.915,27,1.9557,-2.725,0,0,
-6814.9238,27,1.9557,-2.428,0,0,
-6814.936,27,1.9557,-2.85,0,0,
-6814.9434,27,1.9557,-3.044,0,0,
-6814.978,27,1.9557,-2.839,0,0,
-6814.9873,27,1.9557,-2.725,0,0,
-6814.9907,27,1.9557,-2.85,0,0,
4811.9772,28,3.658,-1.592,22.6,21.3,
4814.5979,28,3.597,-1.62,13.4,14.3,
4831.18,28,3.61,-0.32,70.7,71,
4853.78,28,3.543,-1.55,19.9,20,
4857.395,28,3.74,-0.83,45.2,42.7,
4886.7108,28,3.706,-1.78,11.3,10.6,
4904.42,28,3.54,-0.25,87,84.5,
4946.04,28,3.8,-1.224,23.8,23.6,
4952.29,28,3.61,-1.261,30.8,29.8,
4953.21,28,3.74,-0.58,52.4,51.6,
4976.1348,28,3.606,-1.25,28.1,27.6,
4995.66,28,3.63,-1.611,17,16.2,
4998.22,28,3.606,-0.69,54.6,52.9,
5010.94,28,3.63,-0.901,46.6,45.4,
5082.35,28,3.658,-0.59,62.9,62.2,
5094.42,28,3.833,-1.07,27.8,27,
5102.97,28,1.68,-2.66,41.3,40.3,
5115.4,28,3.834,-0.28,78.2,76.5,
5157.9805,28,3.606,-1.51,15.1,15.6,
5392.33,28,4.15,-1.32,10.4,11.4,
5435.86,28,1.99,-2.432,43.6,42,
5462.5,28,3.85,-0.88,40.5,40.9,
5468.11,28,3.85,-1.66,10,10.6,
5578.729,28,1.677,-2.57,44.9,43.9,
5587.87,28,1.93,-2.44,46.6,45.7,
5589.36,28,3.9,-1.148,24.6,23.6,
5593.746,28,3.899,-0.78,39.2,38.5,
5625.32,28,4.09,-0.731,36.8,36.3,
5638.75,28,3.9,-1.699,8.8,8.7,
5641.88,28,4.11,-1.017,24.6,22.5,
5643.08,28,4.16,-1.234,13.9,13,
5694.99,28,4.09,-0.629,42.3,41.9,
5748.36,28,1.68,-3.24,20.7,19.1,
5754.67,28,1.93,-1.85,65.9,63.1,
5805.22,28,4.168,-0.62,39.4,39.6,
5847.01,28,1.676,-3.41,16.2,16.2,
5996.74,28,4.236,-1.01,20.3,18.8,
6007.317,28,1.677,-3.41,19.6,17.9,
6086.288,28,4.266,-0.46,42.5,41.9,
6108.12,28,1.68,-2.43,55.4,53.3,
6111.08,28,4.088,-0.81,32.6,31.6,
6130.14,28,4.266,-0.94,20.5,20,
6175.37,28,4.089,-0.55,49.2,48.1,
6186.717,28,4.106,-0.88,28.4,28.4,
6204.6048,28,4.088,-1.1,19.9,20.2,
6223.9914,28,4.105,-1.052,26.7,25.6,
-6223.971,28,4.105,-1.466,0,0,
6230.1,28,4.11,-1.132,20.1,18.9,
6314.668,28,1.936,-2,71.7,70.6,
6327.6,28,1.68,-3.06,28.9,27.9,
6378.258,28,4.154,-0.972,31,30.4,
-6378.2328,28,4.154,-1.386,0,0,
6635.13,28,4.42,-0.72,22.2,21.6,
6643.64,28,1.676,-2.03,82.5,80.5,
6767.78,28,1.83,-2.1,72.3,70.9,
6772.32,28,3.658,-0.97,46.2,45,
6813.61,28,5.34,-0.33,13,12.2,
5105.558,29,1.39,-2.102,77.4,74.4,
-5105.505,29,1.39,-3.88,0,0,
-5105.509,29,1.39,-2.926,0,0,
-5105.511,29,1.39,-2.88,0,0,
-5105.512,29,1.39,-4.056,0,0,
-5105.517,29,1.39,-2.813,0,0,
-5105.52,29,1.39,-2.558,0,0,
-5105.531,29,1.39,-2.91,0,0,
-5105.536,29,1.39,-2.308,0,0,
-5105.503,29,1.39,-4.232,0,0,
-5105.506,29,1.39,-3.277,0,0,
-5105.509,29,1.39,-3.232,0,0,
-5105.51,29,1.39,-4.408,0,0,
-5105.515,29,1.39,-3.165,0,0,
-5105.519,29,1.39,-2.909,0,0,
-5105.53,29,1.39,-3.262,0,0,
-5105.536,29,1.39,-2.659,0,0,
-5105.56,29,1.39,-2.453,0,0,
5218.202,29,3.816,-0.316,51.8,50.4,
-5218.191,29,3.816,-1.094,0,0,
-5218.193,29,3.816,-1.14,0,0,
-5218.193,29,3.816,-0.772,0,0,
-5218.196,29,3.816,-2.094,0,0,
-5218.196,29,3.816,-1.027,0,0,
-5218.196,29,3.816,-0.522,0,0,
-5218.202,29,3.816,-2.27,0,0,
-5218.202,29,3.816,-1.124,0,0,
-5218.19,29,3.816,-1.446,0,0,
-5218.192,29,3.816,-1.491,0,0,
-5218.192,29,3.816,-1.123,0,0,
-5218.196,29,3.816,-2.446,0,0,
-5218.196,29,3.816,-1.379,0,0,
-5218.196,29,3.816,-0.874,0,0,
-5218.202,29,3.816,-2.622,0,0,
-5218.202,29,3.816,-1.475,0,0,
-5218.202,29,3.816,-0.667,0,0,
4810.534,30,4.08,-0.16,76.8,75.9,
6362.347,30,5.8,0.14,23.3,23.2,
4607.338,38,0,0.283,42.3,40.3,
4854.867,39.1,0.9923,-0.857,52.6,50.9,
-4854.867,39.1,0.9923,-0.602,0,0,
-4854.868,39.1,0.9923,-1.556,0,0,
4883.685,39.1,1.0841,-0.298,67.7,65.2,
-4883.685,39.1,1.0841,-1.729,0,0,
-4883.685,39.1,1.0841,-0.185,0,0,
4900.11,39.1,1.0326,-0.488,66.1,64.9,
-4900.11,39.1,1.0326,-1.634,0,0,
-4900.11,39.1,1.0326,-0.333,0,0,
5119.1108,39.1,0.9923,-2.904,18.3,17.4,
-5119.1118,39.1,0.9923,-1.758,0,0,
-5119.1128,39.1,0.9923,-1.603,0,0,
5200.411,39.1,0.9923,-1.968,44.9,44.4,
-5200.413,39.1,0.9923,-1.014,0,0,
-5200.413,39.1,0.9923,-0.822,0,0,
-5200.414,39.1,0.9923,-1.968,0,0,
5402.7729,39.1,1.839,-1.984,17.2,17.4,
-5402.7739,39.1,1.839,-0.838,0,0,
-5402.7754,39.1,1.839,-0.683,0,0,
5112.28,40.1,1.66,-0.59,11.2,11.3,
5853.696,56.1,0.604,-2.915,73.7,71.7,
-5853.697,56.1,0.604,-2.857,0,0,
-5853.697,56.1,0.604,-3.148,0,0,
-5853.698,56.1,0.604,-3.09,0,0,
-5853.699,56.1,0.604,-3.295,0,0,
-5853.699,56.1,0.604,-3.061,0,0,
-5853.7,56.1,0.604,-2.76,0,0,
-5853.7,56.1,0.604,-3.693,0,0,
-5853.7,56.1,0.604,-2.546,0,0,
-5853.7,56.1,0.604,-2.53,0,0,
-5853.7,56.1,0.604,-3.459,0,0,
-5853.7,56.1,0.604,-2.313,0,0,
-5853.7,56.1,0.604,-1.054,0,0,
-5853.7,56.1,0.604,-2.012,0,0,
-5853.7,56.1,0.604,-2.994,0,0,
-5853.701,56.1,0.604,-3.295,0,0,
-5853.702,56.1,0.604,-3.061,0,0,
-5853.703,56.1,0.604,-2.857,0,0,
-5853.703,56.1,0.604,-3.09,0,0,
-5853.704,56.1,0.604,-3.148,0,0,
-5853.704,56.1,0.604,-2.915,0,0,
6141.695,56.1,0.704,-3.641,131.7,128.4,
-6141.695,56.1,0.704,-3.407,0,0,
-6141.697,56.1,0.704,-2.495,0,0,
-6141.697,56.1,0.704,-2.261,0,0,
-6141.698,56.1,0.704,-3.465,0,0,
-6141.698,56.1,0.704,-3.231,0,0,
-6141.699,56.1,0.704,-1.686,0,0,
-6141.699,56.1,0.704,-1.453,0,0,
-6141.699,56.1,0.704,-2.398,0,0,
-6141.699,56.1,0.704,-2.164,0,0,
-6141.7,56.1,0.704,-1.7,0,0,
-6141.7,56.1,0.704,-0.224,0,0,
-6141.7,56.1,0.704,-1.182,0,0,
-6141.701,56.1,0.704,-1.892,0,0,
-6141.701,56.1,0.704,-1.659,0,0,
-6141.701,56.1,0.704,-2.51,0,0,
-6141.701,56.1,0.704,-2.277,0,0,
-6141.702,56.1,0.704,-1.909,0,0,
-6141.702,56.1,0.704,-2.465,0,0,
-6141.702,56.1,0.704,-2.143,0,0,
-6141.703,56.1,0.704,-2.231,0,0,
6496.9,56.1,0.604,-2,117.9,114.1,
-6496.906,56.1,0.604,-2.764,0,0,
-6496.907,56.1,0.604,-2.367,0,0,
-6496.889,56.1,0.604,-3.066,0,0,
-6496.91,56.1,0.604,-2.367,0,0,
-6496.892,56.1,0.604,-2.367,0,0,
-6496.896,56.1,0.604,-1.919,0,0,
-6496.9,56.1,0.604,-1.482,0,0,
-6496.906,56.1,0.604,-2.531,0,0,
-6496.908,56.1,0.604,-2.133,0,0,
-6496.888,56.1,0.604,-2.832,0,0,
-6496.912,56.1,0.604,-2.133,0,0,
-6496.891,56.1,0.604,-2.133,0,0,
-6496.896,56.1,0.604,-1.686,0,0,
-6496.9,56.1,0.604,-0.524,0,0,
4662.506,57.1,0,-1.763,7.2,7.1,
-4662.49,57.1,0,-2.252,0,0,
-4662.477,57.1,0,-2.951,0,0,
-4662.504,57.1,0,-2.056,0,0,
-4662.491,57.1,0,-2.136,0,0,
-4662.481,57.1,0,-2.511,0,0,
-4662.502,57.1,0,-2.511,0,0,
-4662.492,57.1,0,-2.256,0,0,
-4662.485,57.1,0,-2.24,0,0,
4748.715,57.1,0.9265,-1.229,4.2,4.2,
-4748.72,57.1,0.9265,-1.323,0,0,
-4748.724,57.1,0.9265,-1.424,0,0,
-4748.728,57.1,0.9265,-1.535,0,0,
-4748.729,57.1,0.9265,-2.31,0,0,
-4748.732,57.1,0.9265,-1.656,0,0,
-4748.732,57.1,0.9265,-2.095,0,0,
-4748.734,57.1,0.9265,-1.79,0,0,
-4748.734,57.1,0.9265,-2.017,0,0,
-4748.736,57.1,0.9265,-2.005,0,0,
-4748.737,57.1,0.9265,-1.938,0,0,
-4748.738,57.1,0.9265,-2.045,0,0,
-4748.739,57.1,0.9265,-2.096,0,0,
-4748.74,57.1,0.9265,-2.143,0,0,
-4748.741,57.1,0.9265,-2.348,0,0,
-4748.741,57.1,0.9265,-3.691,0,0,
-4748.742,57.1,0.9265,-3.297,0,0,
-4748.743,57.1,0.9265,-3.213,0,0,
-4748.743,57.1,0.9265,-3.029,0,0,
-4748.743,57.1,0.9265,-3.013,0,0,
-4748.743,57.1,0.9265,-3.1,0,0,
4073.474,58.1,0.477,0.21,19.5,18.1,
4523.08,58.1,0.51,0.04,15.1,14.5,
4562.359,58.1,0.477,0.21,25.1,23.1,
4628.16,58.1,0.52,0.23,20.6,19.1,
4773.96,58.1,0.92,0.25,10.5,9.7,
